SYMBOL	WEIGHT	HUFFMAN CODE
e	184	000
n	95	0010
b	22	001100
.	23	001101
d	50	00111
a	100	0100
s	104	0101
i	105	0110
r	105	0111
o	107	1000
p	23	100100
c	29	100101
u	56	10011
t	111	1010

	62	10110
x	3	101110000
W	1	10111000100
Y	1	10111000101
M	2	1011100011
k	7	10111001
,	15	1011101
E	4	101111000
T	2	1011110010
K	1	10111100110
j	1	10111100111
D	1	10111101000
H	1	10111101001
q	1	10111101010
I	1	10111101011
S	2	1011110110
G	2	1011110111
v	19	1011111
 	268	110
l	68	11100
h	69	11101
;	9	11110000
N	2	1111000100
A	3	1111000101
B	5	111100011
m	21	1111001
f	41	111101
w	21	1111100
g	21	1111101
y	44	111111

Above is the table for Huffman Codes and number of times each symbol appears.

The size of the encoded file is 8014 bits.
The size of the input file (in ASCII encoding) is 12684 bits.
The encoded file is 36.81804% smaller.

